시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-5,35.852534,128.530468,3,2,Y,18320,1,3,3,녹색+황색+적색,105+3+92,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 장산남로 11,대구광역시 달서구 용산동 230-5,35.851862,128.530445,3,2,Y,18323,1,3,3,녹색+황색+적색,105+3+92,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,2,대구광역시 달서구 용산로 188,대구광역시 달서구 용산동 972,35.854288,128.530706,3,2,Y,18351,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,96+3+30+3+68,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 용산로 181,대구광역시 달서구 용산동 230-7,35.853744,128.530464,3,2,Y,18354,1,4,5,녹색+황색+적색/녹색화살표+적색/황색+적색,96+3+30+3+68,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,2,대구광역시 달서구 용산로 174,대구광역시 달서구 용산동 233-8,35.854009,128.530813,3,2,N,18360,1,4,3,녹색/녹색화살표+황색+적색,31+3+166,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,2,대구광역시 달서구 용산로 206,대구광역시 달서구 용산동 972,35.855852,128.530718,3,1,Y,18362,1,3,3,녹색+황색+적색,166+3+31,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 용산로 205,대구광역시 달서구 용산동 972,35.855596,128.530444,3,1,Y,18363,1,3,3,녹색+황색+적색,166+3+31,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,2,대구광역시 달서구 용산로 222,대구광역시 달서구 용산동 972,35.857398,128.530717,3,2,Y,18366,1,4,3,녹색/녹색화살표+황색+적색,44+3+113,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,2,대구광역시 달서구 용산로 226,대구광역시 달서구 용산동 972,35.857691,128.53072,3,2,Y,18367,1,4,3,녹색/녹색화살표+황색+적색,44+3+113,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 용산로 225,대구광역시 달서구 용산동 972,35.857723,128.530452,3,2,Y,18368,1,4,3,녹색/녹색화살표+황색+적색,55+3+102,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 용산서로 9,대구광역시 달서구 용산동 970,35.857495,128.53043,3,2,Y,18369,1,4,3,녹색/녹색화살표+황색+적색,55+3+102,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,2,대구광역시 달서구 용산로 236,대구광역시 달서구 용산동 972,35.858478,128.530754,3,2,N,18380,1,4,3,녹색/녹색화살표+황색+적색,43+3+114,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,2,대구광역시 달서구 용산로 254,대구광역시 달서구 용산동 961,35.859052,128.530677,3,2,N,18381,1,4,3,녹색/녹색화살표+황색+적색,43+3+114,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 용산로 253,대구광역시 달서구 용산동 961,35.859004,128.530508,3,2,N,18384,1,4,3,녹색/녹색화살표+황색+적색,38+3+119,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
대구광역시,달서구,특별시도,,용산로,1,대구광역시 달서구 용산로 235,대구광역시 달서구 용산동 972,35.858482,128.530471,3,2,N,18385,1,4,3,녹색/녹색화살표+황색+적색,38+3+119,2,3,1,N,0:00,0:00,N,N,N,,대구광역시,053-803-5426,2023-03-23
